Handle,Title,Vendor,Type,Tags,Status,Price Range,Compare At Price,Variant Options (Sizes),Variant Count,Total Inventory,Description (Summary),Category,Image Src,Created At,Published
honey-lemon-sunday-green-tea,Honey Lemon Sunday Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Skin Health, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Floral, Flavor_Fruity, Flavor_Nutty, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_Japan",Active,$16.41 - $1822.93,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"This delicious tea delicately combines the warmth of honey and the freshness of a lemon. A perfect duo creating a flavor that sits perfectly on your palette. Taste Notes Lemon, Honey, Fresh Ingredients Organic Sencha, Calendula Petals, and Natural Honey and Lemon Flavors Steeping Instructions For...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Sundaet2.jpg?v=1750439427,2020-12-01 05:34:53 -0800,true
india-kashmiri-chai-green-tea,India Kashmiri Chai Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Anti-Inflammatory, Benefit_Antioxidant Rich, Benefit_Digestive Health, Benefit_Energy, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Earthy, Flavor_Nutty, Flavor_Spicy, Flavor_Vegetal, Format_Loose Leaf, Origin_India, Origin_Japan",Active,$16.94 - $2821.18,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"A light spicy traditional tea directly from the Kashmir region. This flavorful aromatic drink is perfect for a winter wonderland. Taste Notes Light, Spicy, Aromatic Ingredients Organic Sencha Tea with Ginger Root, Cinnamon and Cardamom seeds, and Natural Flavors Steeping Instructions For A Divine...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Indiaen1.jpg?v=1750439436,2020-12-01 05:34:38 -0800,true
japanese-genmaicha-green-tea,Japanese Genmaicha Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Earthy, Flavor_Nutty, Flavor_Smoky, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_Japan",Active,$16.94 - $2821.18,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"A traditional Japanese green tea combined with roasted brown rice. With a subtle vegetal green flavor, this tea is a great combination of an earthy tea with a sweet nutty flavor. Taste Notes Savory, Nutty, Light Ingredients Organic Japanese Green Tea with Roasted Brown Rice Steeping Instructions ...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Genamha1.jpg?v=1750439442,2020-12-01 05:34:28 -0800,true
japanese-gyokuro-green-tea,Japanese Gyokuro Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_Japan",Active,$16.94 - $2821.18,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Japanese green tea that tastes as intriguing as it looks. Being grown under the shade, this tea is considered to be one of the highest grades of teas in Japan. Taste Notes Full Body, Sweet, Rich Ingredients Organic Japanese Green Tea Steeping Instructions For A Divine Cup Heat freshly drawn cold ...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Gyokuro1.jpg?v=1750439439,2020-12-01 05:34:32 -0800,true
japanese-hojicha-green-tea,Japanese Hōjicha Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Earthy, Flavor_Nutty, Flavor_Smoky, Flavor_Vegetal, Format_Loose Leaf, Origin_Japan",Active,$16.94 - $2821.18,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"With the bitterness of green teas removed, Hojicha is the signature for an earthy green tea. With a reddish brown color, this tea has a very unique smoky taste. Taste Notes Earthy, Smoky, Light Ingredients Organic Japanese Green Tea Steeping Instructions For A Divine Cup Heat freshly drawn cold w...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Hojicen1.jpg?v=1750439437,2020-12-01 05:34:36 -0800,true
japanese-kukicha-green-tea,Japanese Kukicha Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Smoky, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_Japan",Active,$16.94 - $2821.18,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"With a fresh green aroma, this Japanese Green tea is made from twigs and stems. Harvested, aged and roasted, Kukicha has a unique flavor that one must try. Taste Notes Sweet, Slightly Nutty, Fresh Ingredients Organic Japanese Green Tea Steeping Instructions For A Divine Cup Heat freshly drawn col...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Kukicen1.jpg?v=1750439432,2020-12-01 05:34:45 -0800,true
japanese-sencha-green-tea,Japanese Sencha Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_Japan",Active,$16.94 - $2821.18,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"A very popular steamed Japanese green tea with a refreshing vegetal flavor. With a vibrant yellow color, this is a well balaced tea between astringent and sweet. Taste Notes Vegetal, Light, Slight Sweet Ingredients Organic Japanese Green Tea Steeping Instructions For A Divine Cup Heat freshly dra...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Japanha1.jpg?v=1750439434,2020-12-01 05:34:40 -0800,true
kenyan-black-tea,Kenyan Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Format_Loose Leaf, Origin_Kenya",Active,$21.88 - $1215.29,,250g | 500g | 1kg | 5kg | 25kg,5,,"Grown from Kenya's rich soil, this black tea has a robust and full-bodied flavour. This exceptionally smooth tea is perfect for a wake me up with its distinct and rich aroma. This tea is known to be one of the best quality teas in the world, both in aroma and taste. Taste Notes Brisk, Full Bodied...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Kenyaea1_22969311-a97f-4de4-95b2-dedc00d43dbd.jpg?v=1750439456,2020-12-01 05:34:09 -0800,true
lemon-ginger-circus-wellness-tea,Lemon Ginger Circus Wellness Tea,Divine Organic Ingredients,Wellness Tea,"Benefit_Anti-Inflammatory, Benefit_Digestive Health, Caffeine_Medium Caffeine, Category_Wellness Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Fruity, Flavor_Herbal, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Format_Loose Leaf",Active,$17.98 - $1996.54,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"A herbal blend of ginger and lemongrass. With a spicy beginning and a sweet finish, this tea leaves a lingering warmth that keeps you wanting more. Taste Notes Spicy, Sweet, Citrus Ingredients Organic Lemongrass, Ginger, and Licorice Steeping Instructions For A Divine Cup Heat freshly drawn cold ...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/WT.Ginges_201.jpg?v=1750439380,2020-12-01 05:36:21 -0800,true
lemon-green-oolong-tea,Lemon Green Oolong Tea,Divine Organic Ingredients,Oolong Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Relaxation, Benefit_Weight Management, Caffeine_Medium Caffeine, Category_Oolong Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Fruity, Flavor_Nutty, Flavor_Vegetal, Flavor_Woody, Format_Loose Leaf",Active,$20.18 - $3363.73,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"A simple twist to our organic Oolong that brings out a slight freshness. With distinct notes of citrus, this tea is perfect for a relaxing day. Taste Notes Fresh, Citrus, Light Ingredients Organic Green tea with lemon myrtle and natural flavors Steeping Instructions For A Divine Cup Heat freshly ...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/OT.Citrung1.jpg?v=1750439401,2020-12-01 05:35:46 -0800,true
love-potion,Love Potion Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Benefit_Skin Health, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Chocolatey, Flavor_Floral, Flavor_Fruity, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf, Origin_India",Active,$17.18 - $1846.10,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Looking for a thoughtful Valentine's Day Gift? Or a special way to compliment those strawberry-covered chocolates? This blend speaks all those sweet you could. With a beautiful melody of colored botanicals, this blend is the undying rose that SHOULD be gifted. A beautiful blend, with an even bett...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6297_2_d234abe1-b9e2-4cb4-ac11-f2ad613f54d9.jpg?v=1750439305,2022-01-27 14:48:21 -0800,true
magic-of-roses-herbal-tea,Magic of Roses Herbal Tea,Divine Organic Ingredients,Herbal Tea,"Benefit_Heart Health, Benefit_Relaxation, Benefit_Skin Health, Caffeine_Caffeine Free, Category_Herbal Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Floral, Flavor_Fruity, Flavor_Herbal, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf",Active,$17.19 - $1909.73,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Not only is this herbal a looker but carries sweet aromatic notes that are as romantic as the name itself. With slight hits of vanilla lingering as the hibiscus takes over, this medium bodied tea is also perfect on ice. Taste Notes Lavender, Tangy, Fruity Ingredients Organic Rose petals, Apple Bi...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Magices1_1.jpg?v=1750439415,2020-12-01 05:35:18 -0800,true
mango-turmeric-tulsi-wellness-tea,Mango Turmeric Tulsi Wellness Tea,Divine Organic Ingredients,Wellness Tea,"Benefit_Adaptogen, Benefit_Anti-Inflammatory, Benefit_Digestive Health, Caffeine_Medium Caffeine, Category_Wellness Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Fruity, Flavor_Herbal, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Format_Loose Leaf",Active,$17.58 - $2929.69,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Don't mistake for just any just your regular turmeric tea, there's a twist. The spicy nature of Turmeric Tulsi is strangely complemented with the sweetness of the mango releasing smooth and well balances end notes. Taste Notes Mango, Sweet, Lightly Spicy Ingredients Organic Ginger, Licorice, Turm...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/WT.Mangosi1.jpg?v=1750439377,2020-12-01 05:36:26 -0800,true
masala-chai-black-tea,Masala Chai Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Anti-Inflammatory, Benefit_Digestive Health, Benefit_Energy, Benefit_Relaxation, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Format_Loose Leaf, Origin_India",Active,$19.54 - $3255.23,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Discover the rich heritage of our Organic Loose Leaf Masala Chai, a true embodiment of India's vibrant spice culture. This full-bodied tea blend, enriched with the warming notes of ginger and cinnamon, has garnered global acclaim for its robust flavor profile, appealing to both tea aficionados an...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Masalai1.jpg?v=1750439453,2020-12-01 05:34:13 -0800,true
matcha-subscription-box,Matcha Subscription Box,Divine Organic Ingredients,Gift,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Focus, Benefit_Relaxation, Benefit_Weight Management, Caffeine_Medium Caffeine, Category_Gift, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Vegetal, Origin_Japan",Active,$49.99,,,1,4,"Indulge in the Perfect Matcha Collection Every Season with Our Matcha Subscription Box Elevate your tea ritual with our Matcha Subscription Box , featuring organic supreme matcha delivered quarterly. Each box contains 150 g of premium organic matcha , ensuring you have your match fix throughout t...","Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",https://cdn.shopify.com/s/files/1/0506/6965/0095/files/shutterstock_656882554_1.jpg?v=1750439271,2024-10-25 10:10:46 -0700,true
midnight-mystery-herbal-tea,Midnight Mystery Herbal Tea,Divine Organic Ingredients,Herbal Tea,"Benefit_Heart Health, Caffeine_Caffeine Free, Category_Herbal Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Floral, Flavor_Fruity, Flavor_Herbal, Flavor_Nutty, Format_Loose Leaf",Active,$16.41 - $1822.93,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"A full bodied hibiscus dominating tea that is perfectly complemented by the fruity flavors of mango and raspberry. Goes amazing on ice. Taste Notes Thick, Slightly Tart, Fruity Ingredients Organic Hibiscus, Cranberries, Blackcurrants, and Natural Flavors. Steeping Instructions For A Divine Cup He...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Midniy1_1.jpg?v=1750439413,2020-12-01 05:35:21 -0800,true
moroccan-mint-iced-tea,Moroccan Mint Iced Tea,Divine Organic Ingredients,Iced Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Relaxation, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Iced Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Herbal, Flavor_Minty, Flavor_Nutty, Flavor_Vegetal, Format_Loose Leaf, Origin_Morocco",Active,$12.50 - $1388.89,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"A deep aromatic mint iced tea that is one of our unique blends. Flavorful mint that is both relaxing and flavorful. Taste Notes Fresh, Vegetal, Mint A deep aromatic mint iced tea that is one of our unique blends. Flavorful mint that is both relaxing and flavorful. Taste Notes Fresh, Vegetal, Mint...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IT.Morocnt1_1.jpg?v=1750439404,2020-12-01 05:35:40 -0800,true
mumbai-chai,Mumbai Chai Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Anti-Inflammatory, Benefit_Digestive Health, Benefit_Energy, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Spicy, Format_Loose Leaf, Origin_India",Active,$19.54 - $3255.23,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Experience the bold spicy chai flavors of Divine Ingredients' Mumbai Chai, an ode to the classic Masala Chai with an extra touch of spice. With cardamom pods enriching its blend, this tea encapsulates the vibrant essence of Mumbai, delivering a burst of flavor that captivates the senses. Perfect ...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Mumbaai1.jpg?v=1750439450,2020-12-01 05:34:16 -0800,true
organic-anise-star-spice,Organic Star Anise Spice,Divine Organic Ingredients,Spices,"Benefit_Anti-Inflammatory, Benefit_Digestive Health, Caffeine_Caffeine Free, Category_Spices, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Format_Whole Spice, Origin_China",Active,$20.76 - $1153.64,,250g | 500g | 1kg | 5kg | 25kg,5,,"Dive into the gentle dance of sweet and peppery with Star Anise. Hailing from the lush terrains of southeastern China and Vietnam, its licorice-reminiscent taste breathes life into savory meat recipes, especially when infused into soups and stews. Product Features: Flavor Profile: Immerse in a bl...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Anisar1.jpg?v=1750439395,2020-12-01 05:35:54 -0800,true
organic-ashwagandha-powder,Organic Ashwagandha Root Powder,Divine Organic Ingredients,Powder,"Benefit_Adaptogen, Benefit_Anti-Inflammatory, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Earthy, Flavor_Nutty, Flavor_Sweet, Format_Powder, Origin_India",Active,$17.18 - $1846.10,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"From the wild terrains of India, we bring you Ashwagandha, a remarkable superfood with a multifaceted taste profile. Embark on a sensory journey, balancing the naturally earthy and bitter flavors with subtle sweet undertones. Product Features: Authentic Origin: Harvested where it naturally thrive...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6838_53f4a819-807a-40bf-b789-082a38c65745.jpg?v=1750439303,2022-01-27 14:48:38 -0800,true
organic-assam-black-tea,Organic Assam Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Format_Loose Leaf, Origin_India",Active,$14.06 - $1562.50,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"From the regions of Assam, northeastern India, this tea is known for its briskness and richness in flavor. A full-bodied traditional Indian tea with a reddish-golden color. Assam tea is mostly near sea-level, giving it a malty and robust color. Blends that contain Assam Black Tea are often sold a...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Assamaf1.jpg?v=1750439466,2020-12-01 05:33:55 -0800,true
organic-astragalus-root-botanicals,Organic Astragalus Root,Divine Organic Ingredients,Botanicals,"Benefit_Anti-Inflammatory, Benefit_Immune Support, Caffeine_Caffeine Free, Category_Botanicals, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Earthy, Flavor_Herbal, Flavor_Nutty, Flavor_Woody, Format_Dried Botanical",Active,$17.19 - $1909.73,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Astragalus is a herb traditionally used to make medicine. Praised for its many health benefits including immune-boosting and anti-inflammatory effect, astragalus root remains a popular household name. Steeping Instructions Bring a cup of freshly drawn cold water to a boil at 100ºC/ 212ºF Infuse t...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Astraot1.jpg?v=1750439493,2020-12-01 05:33:03 -0800,true
organic-beetroot-powder,Organic Beetroot Powder,Divine Organic Ingredients,Powder,"Benefit_Detox, Benefit_Heart Health, Caffeine_Caffeine Free, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Earthy, Flavor_Fruity, Flavor_Nutty, Format_Powder",Active,$15.63 - $868.06,,250g | 500g | 1kg | 5kg | 25kg,5,,"Believed to have originated along the coasts of the Mediterranean, Beetroot offers an earthly, slightly bitter taste. You can add this powder to water to make a juice or add it to sauces, smoothies, or baked goods. Taste notes: earthy, slightly bitter Pairs well with: fruits, nuts The Divine Diff...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6418.jpg?v=1750439367,2021-02-11 21:13:47 -0800,true
organic-black-pepper-powder,Organic Black Pepper Powder,Divine Organic Ingredients,Powder,"Benefit_Heart Health, Caffeine_Caffeine Free, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Spicy, Format_Powder, Origin_India",Active,$23.26 - $1292.54,,250g | 500g | 1kg | 5kg | 25kg,5,,"From the vast landscapes of India to dining tables around the world, Black Pepper has left an indelible mark on global cuisines. Its universally beloved warm and spicy notes make it an indispensable kitchen staple. Product Features: Iconic Flavor: Delight in the warm and spicy undertones of Black...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6408.jpg?v=1750439362,2021-02-11 21:29:16 -0800,true
organic-black-pepper-spice,Organic Black Pepper Spice,Divine Organic Ingredients,Spices,"Benefit_Anti-Inflammatory, Caffeine_Caffeine Free, Category_Spices, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Earthy, Flavor_Fruity, Flavor_Spicy, Format_Whole Spice, Origin_India",Active,$14.88 - $1652.79,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Black Pepper, with its roots in the famed Malabar Coast of India, is not just a spice; it's a flavor powerhouse that has elevated dishes across global cuisines. Its robust warmth and versatile nature make it the chef's choice for imparting depth and character to dishes. Product Features: Bold Fla...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Blacer1.jpg?v=1750439393,2020-12-01 05:35:56 -0800,true
organic-blue-spirulina-powder,Organic Blue Spirulina Powder,Divine Organic Ingredients,Powder,"Benefit_Antioxidant Rich, Benefit_Detox, Caffeine_Caffeine Free, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Format_Powder",Active,$363.04 - $60504.55,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"A well sought-after super powder that will add a pop of color to your food creations. This vibrant blue is perfect to blend with your smoothies, breakfast bowls, lattes. packed with vitamins, minerals, iron, spirulina is a type of cyanobacteria that is incredibly healthy. Taste Notes: bitter Pair...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BlueSpiralina.jpg?v=1750439365,2021-02-11 21:16:58 -0800,true
organic-blueberry-powder,Organic Blueberry Powder,Divine Organic Ingredients,Powder,"Benefit_Antioxidant Rich, Benefit_Protein, Caffeine_Caffeine Free, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Fruity, Flavor_Sweet, Format_Powder",Active,$29.30 - $4882.81,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Blueberries are a very flavorful fruit that is rich with antioxidant. Organic blueberry powder is made from the extracts, blueberry powder gives you a myriad of benefits. Add this powder to yogurt, oatmeal, smoothies, protein shakes, baked goods. Taste Notes: sweet Pairs well with: yogurt, oatmea...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/files/BlueberryPowder-Organic.jpg?v=1750439357,2021-02-11 21:34:41 -0800,true
organic-calendula-petals-botanicals,Organic Calendula Petals Botanicals,Divine Organic Ingredients,Botanicals,"Benefit_Skin Health, Caffeine_Caffeine Free, Category_Botanicals, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Floral, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Format_Dried Botanical",Active,$18.89 - $236.14,,250g | 500g | 1kg | 5kg,4,-4,"A bright yellow plant used to make medicine, historically known to help prevent infection and heal injuries. Don't mistake its brightness for sweetness though, their flavor range between pepper to bitter. Steeping Instructions Bring a cup of freshly drawn cold water to a boil at 100ºC/ 212ºF Infu...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Calenls1.jpg?v=1750439492,2020-12-01 05:33:05 -0800,true
organic-cardamom-powder,Organic Cardamom Powder,Divine Organic Ingredients,Powder,"Benefit_Heart Health, Caffeine_Medium Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Minty, Flavor_Spicy, Format_Powder, Origin_India",Active,$32.43 - $5404.74,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Descended from the aromatic heartlands of Southern India, Cardamom brings a flavor journey like no other. Its unique taste – a harmonious blend of eucalyptus, mint, and pepper – holds the power to transform dishes with a touch of magic. Product Features: Captivating Taste Notes: Experience the de...","Food, Beverages & Tobacco > Food Items > Seasonings & Spices",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6402.jpg?v=1750439358,2021-02-11 21:33:15 -0800,true
organic-cardamom-spice,Organic Cardamom Spice,Divine Organic Ingredients,Spices,"Benefit_Anti-Inflammatory, Benefit_Digestive Health, Benefit_Heart Health, Caffeine_Caffeine Free, Category_Spices, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Floral, Flavor_Fruity, Flavor_Minty, Flavor_Nutty, Flavor_Spicy, Format_Whole Spice, Origin_India",Active,$26.04 - $4340.29,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Cardamom is more than just a spice; it's a symphony of flavors, uniting the aromatic vibes of eucalyptus, the invigorating touch of mint, and the hearty notes of pepper. A close relative of ginger, cardamom introduces an unparalleled dimension of taste to any dish. Product Features: Distinctive T...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Cardom1.jpg?v=1750439391,2020-12-01 05:35:59 -0800,true
